name,edu_management,edu_department,address,type,level
Mẫu giáo mầm non B,Sở Giáo dục và Đào tạo Hà Nội,,Số 5 Phố Phan Chu Trinh,Công lập,Trường Mầm non
Mẫu giáo Việt Triều Hữu nghị,Sở Giáo dục và Đào tạo Hà Nội,,Khu B tập thể Trung Tự - Đống Đa - Hà Nội,Công lập,Trường Mầm non
TRƯỜNG PTCS XÃ ĐÀN,Sở Giáo dục và Đào tạo Hà Nội,,"100 - 111 ngõ Xã Đàn II, Nam Đồng",Công lập,Trường Mầm non
Trường mầm non thực hành Linh Đàm,Sở Giáo dục và Đào tạo Hà Nội,,,Công lập,Trường Mầm non
NTLMGĐLNgọc Minh- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Đô rê mon 3- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa Lan- GIANG VÕ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa sen 1- NGỌC HÀ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa sen 2- NGỌC HÀ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa Sen Hasuko- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLĐoremon- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoA Lan- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ánh sao 1- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ánh sao 2- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ngôi nhà ngọt ngào- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ngọc Minh- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Tuổi thần tiên- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Da Lan Hương- GIANG VÕ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Vầng trăng- PHÚC XA,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Đô rê mí 1- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Chim Sâu Baby- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Hoa sữa- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa  sữa 2- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Mầm xanh- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHọa Mi- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL  Táo Hồng- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
